term|term_label|term_id|NER_Method
ASD|ASD|http://purl.obolibrary.org/obo/MONDO_0005258|lab
genes|genes|http://purl.obolibrary.org/obo/SO_0000704|lab
neuronal development|neuronal development|http://purl.obolibrary.org/obo/GO_0048666|lab
candidate genes|candidate genes|http://purl.obolibrary.org/obo/SO_0001867|lab
Genome|Genome|http://purl.obolibrary.org/obo/SO_0001026|lab
synapse|synapse|http://purl.obolibrary.org/obo/GO_0045202|lab
psychiatric disorders|psychiatric disorders|http://purl.obolibrary.org/obo/HP_0000708|lab
Autism spectrum disorder|Autism spectrum disorder|http://purl.obolibrary.org/obo/MONDO_0005258|lab
autism|autism|none|ner
autism spectrum disorder|autism spectrum disorder|http://purl.obolibrary.org/obo/MONDO_0005258|ner
asd|asd|none|ner
neurodevelopmental psychiatric disorders|neurodevelopmental psychiatric disorders|http://purl.obolibrary.org/obo/MONDO_0002025|ner
intellectual disability|intellectual disability|http://purl.obolibrary.org/obo/MONDO_0001071|ner
patients|patients|none|ner
autism spectrum disorder (asd)|autism spectrum disorder (asd)|http://purl.obolibrary.org/obo/MONDO_0005258|gpt
narrow pore, gated channel activity|narrow pore, gated channel activity|http://purl.obolibrary.org/obo/GO_0022831|gpt
neuronal development|neuronal development|none|gpt
regulation of synaptic function|regulation of synaptic function|none|gpt
synapse formation|synapse formation|none|gpt
